2022-09-01 16:42:19.8481||DEBUG|Microsoft.Extensions.Hosting.Internal.Host|Hosting starting |url: |action:  

2022-09-01 16:42:19.9256||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\25171\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action:  

2022-09-01 16:42:19.9433||DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver|Repository contains no viable default key. Caller should generate a key with immediate activation. |url: |action:  

2022-09-01 16:42:19.9433||DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.KeyRingProvider|Policy resolution states that a new key should be added to the key ring. |url: |action:  

2022-09-01 16:42:19.9433||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Creating key {21a37c05-90c3-4c5a-931d-94c3fc2ea663} with creation date 2022-09-01 08:42:19Z, activation date 2022-09-01 08:42:19Z, and expiration date 2022-11-30 08:42:19Z. |url: |action:  

2022-09-01 16:42:19.9433||DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Descriptor deserializer type for key {21a37c05-90c3-4c5a-931d-94c3fc2ea663} is 'Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=5.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60'. |url: |action:  

2022-09-01 16:42:19.9580||DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|No key escrow sink found. Not writing key {21a37c05-90c3-4c5a-931d-94c3fc2ea663} to escrow. |url: |action:  

2022-09-01 16:42:19.9735||DEBUG|Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlEncryptor|Encrypting to Windows DPAPI for current user account (LAPTOP-LVQHMSHI\25171). |url: |action:  

2022-09-01 16:42:19.9735||INFO|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Writing data to file 'C:\Users\25171\AppData\Local\ASP.NET\DataProtection-Keys\key-21a37c05-90c3-4c5a-931d-94c3fc2ea663.xml'. |url: |action:  

2022-09-01 16:42:19.9735||DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Key cache expiration token triggered by 'CreateNewKey' operation. |url: |action:  

2022-09-01 16:42:19.9735||DEBUG|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Reading data from file 'C:\Users\25171\AppData\Local\ASP.NET\DataProtection-Keys\key-21a37c05-90c3-4c5a-931d-94c3fc2ea663.xml'. |url: |action:  

2022-09-01 16:42:19.9735||DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|Found key {21a37c05-90c3-4c5a-931d-94c3fc2ea663}. |url: |action:  

2022-09-01 16:42:19.9927||DEBUG|Microsoft.AspNetCore.DataProtection.KeyManagement.DefaultKeyResolver|Considering key {21a37c05-90c3-4c5a-931d-94c3fc2ea663} with expiration date 2022-11-30 08:42:19Z as default key. |url: |action:  

2022-09-01 16:42:20.0386||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=5.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action:  

2022-09-01 16:42:20.0386||DEBUG|Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor|Decrypting secret element using Windows DPAPI. |url: |action:  

2022-09-01 16:42:20.0386||DEBUG|Microsoft.AspNetCore.DataProtection.TypeForwardingActivator|Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=5.0.0.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60 |url: |action:  

